date,group,gender,intake_ml,goal_ml
2025-11-13,adulto,mujer,1850,2000
2025-11-13,adulto,hombre,2100,2500
2025-11-14,adulto,mujer,1780,2000
2025-11-14,adulto,hombre,1980,2500
2025-11-15,adulto,mujer,1920,2000
2025-11-15,adulto,hombre,2250,2500
2025-11-16,adulto,mujer,1700,2000
2025-11-16,adulto,hombre,2050,2500
2025-11-17,adulto,mujer,1880,2000
2025-11-17,adulto,hombre,2180,2500
2025-11-18,adulto,mujer,1810,2000
2025-11-18,adulto,hombre,2120,2500
2025-11-19,adulto,mujer,1900,2000
2025-11-19,adulto,hombre,2200,2500
